"year","author_name","total_count"
"2022","Mygod",21
"2022","NaLan ZeYu",1
"2022","NeverBehave",1
"2022","Nick Cao",1
"2022","RAX7",1
"2022","Robert LU",1
"2022","Shelikhoo",85
"2022","Shun Sakai",1
"2022","Tristan Schmelcher",1
"2022","ValdikSS",1
"2022","Vigilans",7
"2022","Y0ba",2
"2022","Yuwei Ba",1
"2022","_ksco",1
"2022","database64128",1
"2022","dependabot[bot]",125
"2022","dev4u",11
"2022","dyhkwong",4
"2022","heimoshuiyu",1
"2022","kvii",1
"2022","longkai",2
"2022","lrh2000",2
"2022","lwintermelon",1
"2022","nishans08",1
"2022","rickyrick2002",2
"2022","simpleandstupid",1
"2022","spyophobia",1
"2022","ty",2
"2022","vndroid",4
"2022","wevsty",3
"2022","xiazuojie",3
"2022","yuhan6665",3
"2022","zonyitoo",246
"2022","世界",3
"2022","秋のかえで",39
"2023","57a4c324e742",2
"2023","A1lo",1
"2023","Aaron Chen",3
"2023","AkinoKaede",32
"2023","Aleksandr Krotov",1
"2023","Allo",4
"2023","Bran Liang",1
"2023","Dmitry Afanasiev",1
"2023","Ed Asriyan",1
"2023","Eli Skeggs",1
"2023","Emils",1
"2023","Hanwei Jin",2
"2023","Huang-Huang Bao",1
"2023","Kirill Fertikov",2
"2023","Kslr",1
"2023","Li Xiaobin",1
"2023","Max Lv",21
"2023","MoetaYuko",1
"2023","Murtaza S Vhora",1
"2023","Mygod",6
"2023","NimaQu",1
"2023","OurebiKitsu",1
"2023","Qusic",1
"2023","Rinka",1
"2023","Secretary of the Interior, Not Sure",1
"2023","Seena Fallah",2
"2023","Shelikhoo",49
"2023","Shriraj Hegde",1
"2023","Sorochan Ilya",1
"2023","Tim Xylon",23
"2023","Vigilans",5
"2023","Wang Xiang",1
"2023","XOR-op",1
"2023","Xiaokang Wang (Shelikhoo)",1
"2023","YiGuo",1
"2023","Yuwei Ba",1
"2023","allo",1
"2023","bran",1
"2023","database64128",1
"2023","dependabot[bot]",166
"2023","dev4u",1
"2023","dyhkwong",6
"2023","ghosx",1
"2023","guangwu",1
"2023","hanwei",2
"2023","heimoshuiyu",1
"2023","just1900",1
"2023","karelrooted",1
"2023","mydogshitgold",2
"2023","pathC",3
"2023","riKirsti",1
"2023","spyophobia",1
"2023","time-river",1
"2023","ty",6
"2023","vndroid",1
"2023","zonyitoo",127
"2023","秋のかえで",2
"2024","Aaron Chen",15
"2024","Aleksandr Krotov",2
"2024","Alexander Azarov",1
"2024","Consus",1
"2024","David Lönnhager",1
"2024","Hanwei Jin",1
"2024","Hillwood Yang",1
"2024","Integral",1
"2024","Jimmy Huang",1
"2024","Jorge Alberto Díaz Orozco (Akiel)",1
"2024","Justin W Smith",1
"2024","Kaede Akino",2
"2024","Kasefuchs",1
"2024","Kursat Aktas",1
"2024","Liu Dongmiao",2
"2024","Lomik_XP",3
"2024","Marek Küthe",1
"2024","Mark Ma",1
"2024","Markus Pettersson",1
"2024","Max Lv",3
"2024","Misaki Kasumi",4
"2024","Mygod",21
"2024","Qusic",1
"2024","Shelikhoo",39
"2024","Skyxim",1
"2024","Tom Ryan",2
"2024","Vesa Vilhonen",1
"2024","Vigilans",3
"2024","Xiaokang Wang (Shelikhoo)",7
"2024","Xuesong Peng",2
"2024","Yuwei Ba",1
"2024","dependabot[bot]",159
"2024","drawdrop",1
"2024","dyhkwong",9
"2024","ge9",1
"2024","hanwei",1
"2024","l",1
"2024","link2xt",1
"2024","mesher2024",1
"2024","mkmark",1
"2024","nailyk",2
"2024","povsister",1
"2024","renovate[bot]",104
"2024","splurge103",1
"2024","stormynoct",2
"2024","sunshineplan",3
"2024","ty",32
"2024","unknowndevQwQ",1
"2024","xiaobo tian",1
"2024","zonyitoo",223
"2024","世界",2
