"author_name","Period_3_2021_2025","Period_1_2012_2016","Period_2_2016_2021","total_commits"
"alberto lalama",0,0,2,2
"andwxh",0,0,2,2
"axuan",2,0,0,2
"bafometik",2,0,0,2
"bcseputetto",2,0,0,2
"bdbai",1,0,1,2
"bjzhou1990",0,2,0,2
"bo he",0,0,2,2
"bootmortis",2,0,0,2
"canbingzt",0,2,0,2
"chika0801",2,0,0,2
"cyilin",0,0,2,2
"dd",0,0,2,2
"ddatsh",0,2,0,2
"evansan",0,0,2,2
"eycorsican",0,0,2,2
"floatingrain",0,0,2,2
"flxxyz",0,0,2,2
"flybluewolf",0,0,2,2
"flylai",0,0,2,2
"forDream",0,0,2,2
"funray",1,0,1,2
"ghv2",0,0,2,2
"gordon-zhao",0,0,2,2
"hdt",0,0,2,2
"heapops",0,0,2,2
"heimoshuiyu",2,0,0,2
"hex2tan",0,0,2,2
"honwen.chan",0,0,2,2
"hsiaoN",2,0,0,2
"ivanpodsolnuh",2,0,0,2
"jemyzhang",0,2,0,2
"johnrosen",0,0,2,2
"kev",0,2,0,2
"kirin10000",0,0,2,2
"kuoruan",0,0,2,2
"li3shiyi",0,2,0,2
"liberal-boy",0,0,2,2
"life",2,0,0,2
"lilydjwg",0,2,0,2
"lim-kim930",2,0,0,2
"liulun",0,2,0,2
"longkai",2,0,0,2
"lqs",0,0,2,2
"lrh2000",2,0,0,2
"maddie",0,0,2,2
"mcdemon05",2,0,0,2
"meowlab",0,2,0,2
"mixool",0,0,2,2
"mmx",0,0,2,2
"muzea",0,0,2,2
"mvd-ows",0,0,2,2
"mydogshitgold",2,0,0,2
"nailyk",2,0,0,2
"nasbdh9",0,0,2,2
"nb5p",2,0,0,2
"norci",2,0,0,2
"piangere",2,0,0,2
"py_qwq",2,0,0,2
"qifeng233",2,0,0,2
"riKirsti",2,0,0,2
"rickyrick2002",2,0,0,2
"shadowsocksRb",0,0,2,2
"sklimoff",2,0,0,2
"stormynoct",2,0,0,2
"sxnpu",2,0,0,2
"tdjnodj",2,0,0,2
"test",0,0,2,2
"tim-le",0,1,1,2
"twisted",0,0,2,2
"unknowndevQwQ",2,0,0,2
"woodylan",0,0,2,2
"wuxiangzhou",0,0,2,2
"xmapst",2,0,0,2
"xnor",0,0,2,2
"yiitz",2,0,0,2
"ysakura99",2,0,0,2
"yuanmomo",0,0,2,2
"yvvw",2,0,0,2
"zhuobixin",0,0,2,2
"zouquan741",0,0,2,2
"zw0",0,0,2,2
"zzc10086",0,0,2,2
"勤",0,0,2,2
"南浦月",0,2,0,2
"原俊杰",2,0,0,2
"惠轶群",0,2,0,2
"星野ハジメ",0,0,2,2
